Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Celeriac Soup,1,Serving,537.75,246.03,68.94,11.77,9.36,35.95,8.92,1.03,8.64,1.15,0.29,12.94,7.69,1.31,4.3,1.31,0,0,140.78,479.71,23.99,47.97,0,18.66,0.18,0.11,1.13,1.73,0.29,0,0,13.78,0,0,0.73,73.83,66.15,72.12,0.58,148.26,0.05,0.19,0.01,0,3.19,54.88,0.59,6.55,216.89,692.53,2.78,663.1,0.86,0.05,0.39,0,0,12.35
"    celeriac, fresh",4.624,Ounce-weight,131.09,55.06,3.54,0.93,1.97,12.06,2.36,0,2.1,0,0,7.6,0.39,0.1,0.08,0.19,0,0,115.36,0,0,0,0,0,0.07,0.08,0.92,0.92,0.22,0,0,10.49,0,0,0.47,10.49,10.49,53.75,0.46,56.37,0,0.09,0,0,0.92,26.22,0.21,6.55,150.75,393.26,0.92,131.09,0.43,0,0.19,0,0,11.8
"    beans, small white, dry",0.504,Ounce-weight,14.29,48.01,1.52,0.39,3.02,8.89,3.56,1.03,0,0,0,0,0.17,0.04,0.01,0.07,0,0,1.67,0,0,0,0,0,0.11,0.03,0.19,0.79,0.06,0,0,0,0,0,0,55.15,55.15,0,0.1,24.72,0,0.09,0,0,1.1,26.15,0.18,0,63.58,220.32,1.83,1.71,0.4,0.03,0.04,0,0,0
"    apple, granny smith, fresh",0.528,Ounce-weight,14.97,8.68,0.26,0,0.07,2.04,0.42,0,1.44,1.15,0.29,0.18,0.03,0,0,0,0,0,12.79,14.97,0.75,1.5,0,8.83,0,0,0.02,0.02,0.01,0,0,0,0,0,0.03,0.45,0.45,0.48,0.01,0.75,0,0,0,0,0.02,0.75,0.01,0,1.8,17.96,0.01,0.15,0.01,0,0,0,0,0.51
"    potato, Yukon Gold, fresh, diced",0.648,Ounce-weight,18.37,13.36,0,0,0.33,3.34,0.33,0,0.17,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,13.36,0,0,0,0,0.18,0,0,0,0,0,0,5.85,0,0,0,0,0,0
"    black pepper, ground",0.012,Ounce-weight,0.34,0.85,0.1,0.04,0.04,0.22,0.09,0,0,0,0,0.13,0.01,0,0,0,0,0,0.04,1.86,0.09,0.19,0,1.05,0,0,0,0.01,0,0,0,0,0,0,0,0.06,0.06,0.56,0,1.51,0.05,0,0,0,0.03,0.58,0.04,0,0.54,4.52,0.02,0.07,0,0,0,0,0,0.04
"    sage, fresh",0.024,Ounce-weight,0.68,0.81,0.28,0,0.03,0.11,0,0,0,0,0,0,0.03,0,0,0,0,0,0.45,14.63,0.73,1.46,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,1.09,0.06,0,0.22,2.65,0,0.03,0.01,0,0,0,0,0
"    garlic, minced",0.06,Ounce-weight,1.7,5.1,1.53,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    oil, olive",0.116,Tablespoon,1.57,13.84,13.84,1.95,0,0,0,0,0,0,0,0,1.57,0.22,1.14,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.94,0,0.02,0,0,0,0,0.01,0,0,0,0,0.02,0,0.03,0,0.01,0.15,0,0,0
"        cashews, raw, whole",0.43252,Ounce-weight,12.26,70.07,47.3,7.88,2.19,3.5,0.44,0,0.88,0,0,2.19,5.26,0.88,3.07,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0.79,0,0,0,0,0,0,2.19,0,0,0,0,0,0
"        water, tap",0.03932,Cup,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.01,0,0,0.09,0,0,0,0,0,0.37,0,0,0,0,0,0
    Euphebe Organic Vegetable Stock,11.296,Fluid ounce,320,27.04,0,0,1.34,5.41,1.34,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    vinegar, apple cider, 50 grain, food service",0.032,Fluid ounce,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    kale, baby, Power Up Greens",0.024,Pound,10.89,3.2,0.58,0.58,0.38,0.38,0.38,0,0,0,0,0,0.06,0.06,0,0,0,0,0,448.26,22.41,44.83,0,0,0,0,0,0,0,0,0,2.69,0,0,0,7.68,0,16.39,0,38.42,0,0,0,0,0.14,0,0.09,0,0,53.79,0,6.4,0,0,0,0,0,0
    sea salt,0.047,ounce-weight,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.21,,,,,,
Total,1,Serving,537.75,246.03,68.94,11.77,9.36,35.95,8.92,1.03,8.64,1.15,0.29,12.94,7.69,1.31,4.3,1.31,0,0,140.78,479.71,23.99,47.97,0,18.66,0.18,0.11,1.13,1.73,0.29,0,0,13.78,0,0,0.73,73.83,66.15,72.12,0.58,148.26,0.05,0.19,0.01,0,3.19,54.88,0.59,6.55,216.89,692.53,2.78,663.1,0.86,0.05,0.39,0,0,12.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemary Oat Crumble,1,Serving,47.7,153.26,89.37,11.72,3.28,14.03,3.06,0.3,0,0,0,10.93,10.06,1.3,5.41,1.52,0,0,18.42,7.25,0.36,0.73,0,0,0.09,0,0,0,0,0,0,0.1,0,0,1.03,0.52,0.52,4.33,0,22.76,0,0,0.01,0,1.2,0.56,0,0,0.12,63.71,0.01,101.14,0.01,0.78,0.7,0,0,0.02
"    oat flour, whole grain",0.625,Ounce-weight,17.72,70.87,15.95,2.66,2.36,12.4,1.77,0,0,0,0,10.63,1.77,0.3,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,0,0,0,0,0.85,0,0,0,0,62.01,0,0,0,0,0,0,0,0
"    flax seed meal, ground, organic",0.138889,Ounce-weight,3.94,18.17,9.54,0,0.91,1.51,1.21,0.3,0,0,0,0.3,1.06,0,0.15,0.76,0,0,0,1.93,0.1,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0.26,0,0,0,0,0,0,1.51,0,0.73,0,0,0,0
"    rosemary, dried",0.047222,Tablespoon,0.17,0.56,0.23,0.11,0.01,0.11,0.07,0,0,0,0,0,0.03,0.01,0.01,0,0,0,0.02,5.32,0.27,0.53,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.52,0.52,0,0,2.18,0,0,0,0,0.05,0.37,0,0,0.12,1.62,0.01,0.09,0.01,0,0,0,0,0
"    water, tap",0.019444,Quart,18.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0.01,0,0,0.18,0,0,0,0,0,0.74,0,0,0,0,0,0
"    oil, olive",0.008333,Quart,7.2,63.65,63.65,8.95,0,0,0,0,0,0,0,0,7.2,0.99,5.25,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,4.33,0,0.07,0,0,0,0,0.04,0,0,0,0,0.07,0,0.14,0,0.05,0.7,0,0,0.02
    sea salt,0.009,ounce-weight,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.66,,,,,,
Total,1,Serving,47.7,153.26,89.37,11.72,3.28,14.03,3.06,0.3,0,0,0,10.93,10.06,1.3,5.41,1.52,0,0,18.42,7.25,0.36,0.73,0,0,0.09,0,0,0,0,0,0,0.1,0,0,1.03,0.52,0.52,4.33,0,22.76,0,0,0.01,0,1.2,0.56,0,0,0.12,63.71,0.01,101.14,0.01,0.78,0.7,0,0,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Coconut Green Curry,1,Serving,368.65,358.77,197.98,141.21,15.27,28.02,6.62,0.61,6.86,1.66,0.96,6.54,22,15.69,1.72,3.07,0,0,276.83,9998.59,499.93,999.86,0,4404.46,0.12,0.13,1.54,2.38,0.28,0,1.57,81.01,0,0,0.8,96.46,96.46,284.3,0.58,259.1,0,0.81,0,0.79,5.58,71.6,1.05,6.26,153.98,691.55,1.56,763.56,0.91,0.1,0.27,0,0,15.67
"    oil, coconut",0.072,Fluid ounce,1.96,17.47,17.46,14.54,0,0,0,0,0,0,0,0,1.94,1.62,0.12,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01
"    onion, white, fresh, chopped",1.396,Ounce-weight,39.58,15.83,0.36,0.15,0.44,3.7,0.67,0,1.68,1.29,0.39,1.35,0.04,0.02,0.01,0.01,0,0,35.27,0.79,0.04,0.08,0,0.4,0.02,0.01,0.05,0.14,0.05,0,1.39,2.93,0,0,0.01,7.52,7.52,0.16,0.05,9.1,0,0.02,0,0.79,0.08,3.96,0.05,1.98,11.48,57.78,0.2,1.58,0.07,0,0.01,0,0,2.41
"    ginger root, fresh, 1"" sliced",0.056,Ounce-weight,1.59,1.27,0.11,0.03,0.03,0.28,0.03,0,0.03,0,0,0.22,0.01,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0.08,0,0,0,0.17,0.17,0,0,0.25,0,0,0,0,0.01,0.68,0,0,0.54,6.59,0.01,0.21,0.01,0,0,0,0,0.46
"    garlic, minced",0.084,Ounce-weight,2.38,7.14,2.14,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    carrots, fresh",0.924,Ounce-weight,26.19,10.07,0,0,0.34,2.35,0.67,0,1.68,0,0,0,0,0,0,0,0,0,23.25,1847.08,92.35,184.71,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,6.72,0,0,0,0,0.12,0,0,0,0,83.96,0,20.15,0,0,0,0,0,0
"    peas, snow, fresh",0.688,Ounce-weight,19.5,8.03,0,0,0.46,1.38,0.46,0,0.69,0,0,0.23,0,0,0,0,0,0,0,22.95,1.15,2.29,0,13.3,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,9.18,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"    broccoli florets, fresh",0.888,Ounce-weight,25.17,7.05,0.79,0.12,0.75,1.27,0.58,0.06,0.37,0,0,0.32,0.09,0.01,0.01,0.04,0,0,22.83,755.23,37.76,75.52,0,0,0.02,0.03,0.16,0.28,0.04,0,0,23.46,0,0,0,17.87,17.87,0,0.13,12.08,0,0.01,0,0,0.22,6.29,0.06,1.26,16.62,81.82,0.76,6.8,0.1,0.03,0.01,0,0,0
"    coconut milk, canned",0.306,Cup,69.16,136.24,132.76,117.73,1.4,1.94,0,0,0,0,0,0,14.75,13.08,0.63,0.16,0,0,50.4,0,0,0,0,0,0.02,0,0.44,0.69,0.02,0,0,0.69,0,0,0,9.68,9.68,0,0.11,12.45,0,0.15,0,0,2.28,31.81,0.53,0,66.39,152.14,0,8.99,0.39,0,0.16,0,0,5.88
"    water, generic",0.888,Fluid ounce,26.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0.53,0,0,0,0,0,0.53,0,0,0,0,0,0
"    kale, fresh, chopped",1.332,Ounce-weight,37.76,18.5,3.16,0.31,1.62,3.3,1.36,0.54,0.85,0,0,1.09,0.35,0.03,0.02,0.13,0,0,31.73,3772.38,188.62,377.24,0,2238.13,0.04,0.05,0.38,0.38,0.1,0,0.19,45.31,0,0,0.58,53.24,53.24,266.14,0.03,56.64,0,0.57,0,0,0.56,17.75,0.25,1.89,34.74,185.41,0.34,14.35,0.21,0.07,0.05,0,0,0.3
"    vinegar, brown rice, organic",0.056,Fluid ounce,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    soy sauce, tamari",0.028,Cup,8.06,4.84,0.07,0.01,0.85,0.45,0.06,0,0.14,0,0,0.25,0.01,0,0,0,0,0,5.32,0,0,0,0,0,0,0.01,0.32,0.56,0.02,0,0,0,0,0,0,1.45,1.45,0,0.03,1.61,0,0.01,0,0,0.19,3.23,0.04,0,10.48,17.1,0.06,450.45,0.03,0,0,0,0,3.1
"    tofu, super firm, Nasoya, cubed",2.532,Ounce-weight,71.78,84.7,40.7,8.27,8.9,2.01,1.44,0,0.43,0,0,0.14,4.52,0.92,0.92,2.69,0,0,55.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.95,0,0,0,0,1.44,0,0,0,0,0,0,4.31,0,0,0,0,0,0
    arrowroot flour,0.252,Ounce-weight,7.14,25.5,0.06,0.01,0.02,6.3,0.24,0,0,0,0,0,0.01,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.01,2.86,0,0,0,0,0.02,0.21,0.03,0,0.36,0.79,0,0.14,0.01,0,0,0,0,0
"    cilantro, fresh, leaves",0.2,Ounce-weight,5.67,1.3,0.27,0.01,0.12,0.21,0.16,0,0.05,0,0,0,0.03,0,0.02,0,0,0,5.23,382.61,19.13,38.26,0,222.83,0,0.01,0.06,0.06,0.01,0,0,1.53,0,0,0.14,3.52,3.52,17.58,0.03,3.8,0,0.01,0,0,0.1,1.47,0.02,0,2.72,29.54,0.05,2.61,0.03,0,0,0,0,0.73
"    curry paste, green",0.05552,Ounce-weight,1.57,1.31,0,0,0,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.58,0,0,0,0,0,0
"    sweet potatoes, fresh, cubes",0.8,Ounce-weight,22.68,19.5,0.1,0.04,0.36,4.56,0.68,0,0.95,0.38,0.57,2.93,0.01,0,0,0,0,0,17.53,3217.56,160.88,321.76,0,1929.81,0.02,0.01,0.13,0.24,0.05,0,0,0.54,0,0,0.06,2.49,2.49,0.41,0.18,6.8,0,0.03,0,0,0.14,5.67,0.06,1.13,10.66,76.43,0.14,12.47,0.07,0,0,0,0,2.79
"    sea salt, california",0.016,Ounce-weight,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.39,0,0,0,0,0,0
Total,1,Serving,368.65,358.77,197.98,141.21,15.27,28.02,6.62,0.61,6.86,1.66,0.96,6.54,22,15.69,1.72,3.07,0,0,276.83,9998.59,499.93,999.86,0,4404.46,0.12,0.13,1.54,2.38,0.28,0,1.57,81.01,0,0,0.8,96.46,96.46,284.3,0.58,259.1,0,0.81,0,0.79,5.58,71.6,1.05,6.26,153.98,691.55,1.56,763.56,0.91,0.1,0.27,0,0,15.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemongrass Rice,1,Serving,75.87,224.23,17.58,3.25,4.61,46.59,2.2,0.22,0.4,0,0.4,43.99,1.95,0.36,0.64,0.61,0,0,21.84,0,0,0,0,0,0.33,0.06,3.96,4.94,0.29,0,0.63,0.01,0,0,0.37,14.04,14.04,0.37,0.65,6.03,0.24,0.19,0.01,0,0.8,70.96,1.74,0,189.87,153.82,10.44,3.64,1.3,0.02,0.59,0,0,13.13
"    rice, brown, dry, long grain",0.33,Cup,61.05,224.05,17.58,3.25,4.6,46.55,2.2,0.22,0.4,0,0.4,43.95,1.95,0.36,0.64,0.61,0,0,7.2,0,0,0,0,0,0.33,0.06,3.96,4.94,0.29,0,0.63,0,0,0,0.37,14.04,14.04,0.37,0.65,5.49,0.24,0.18,0,0,0.79,70.82,1.74,0,189.87,152.62,10.44,3.05,1.3,0.02,0.59,0,0,13.13
"    lemongrass, fresh, chopped",0.0025,Cup,0.17,0.18,0,0,0.01,0.04,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,0,1.2,0,0,0,0,0,0,0,0
"    water, tap",0.495,Fluid ounce,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0.01,0,0,0.15,0,0,0,0,0,0.59,0,0,0,0,0,0
Total,1,Serving,75.87,224.23,17.58,3.25,4.61,46.59,2.2,0.22,0.4,0,0.4,43.99,1.95,0.36,0.64,0.61,0,0,21.84,0,0,0,0,0,0.33,0.06,3.96,4.94,0.29,0,0.63,0.01,0,0,0.37,14.04,14.04,0.37,0.65,6.03,0.24,0.19,0.01,0,0.8,70.96,1.74,0,189.87,153.82,10.44,3.64,1.3,0.02,0.59,0,0,13.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickpea Caesar Salad,1,Serving,275.6,351.49,116.03,15.41,18.25,43.77,11.48,4.05,9.29,1.45,0.26,22.95,13.01,1.71,6.41,3.93,0,0,191.27,4568.79,228.53,456.88,0,2698.39,0.34,0.21,1.75,3.35,0.48,0,0.27,105.49,0,0,3.14,327.13,327.13,402.6,1.11,176.76,0.09,0.98,0.01,0,4.36,77.66,8.54,7.23,207.76,880.93,2.42,721.26,1.83,0.23,1.78,0,0,48.23
"    chickpeas, dry",1.275,Ounce-weight,36.15,136.63,19.65,1.96,7.4,22.75,4.41,1.59,3.87,0,0,14.48,2.18,0.22,0.5,0.99,0,0,2.78,24.22,1.21,2.42,0,14.46,0.17,0.08,0.56,1.76,0.19,0,0,1.45,0,0,0.3,201.33,201.33,3.25,0.57,20.6,0,0.24,0,0,1.56,28.56,7.7,0,91.09,259.53,0,8.67,1,0.04,0.95,0,0,35.89
"    parsnips, fresh, sliced",1.82,Ounce-weight,51.6,38.7,1.39,0.23,0.62,9.28,2.53,0.77,2.48,0,0,4.28,0.15,0.03,0.06,0.02,0,0,41.03,0,0,0,0,0,0.05,0.03,0.36,0.36,0.05,0,0.05,8.77,0,0,0.77,34.57,34.57,11.61,0.31,18.57,0,0.06,0,0,0.3,14.96,0.29,2.58,36.63,193.49,0.93,5.16,0.3,0,0.02,0,0,0
"    kale, fresh, chopped",1.455,Ounce-weight,41.25,20.21,3.45,0.34,1.77,3.61,1.48,0.59,0.93,0,0,1.19,0.38,0.04,0.02,0.14,0,0,34.67,4120.73,206.04,412.07,0,2444.8,0.05,0.05,0.41,0.41,0.11,0,0.21,49.5,0,0,0.64,58.16,58.16,290.72,0.04,61.87,0,0.62,0,0,0.61,19.39,0.27,2.06,37.95,202.53,0.37,15.67,0.23,0.07,0.06,0,0,0.33
