MEAL,Cals (kcal),Prot (g),Fat (g),Carb (g),TotFib (g),Sugar (g),,Course,Quantity,Measure,Wgt (g),,FatCals (kcal),SatCals (kcal),,Carb (g),TotFib (g),TotSolFib (g),,MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
Eggplant Sugo and Red Lentil Rotini,580.34,27.55,17.78,81.1,19.14,15.18,0,,,,455.73,0,159.27,30.09,0,81.1,19.14,0.5,0,8.87,1.88,3.83,17.78,3.34,3.33,0.8,0,0,313.51,7979.83,398.99,797.98,0,3884.76,0.18,0.17,3.15,3.74,0.41,0,3.42,23.67,0,0,3.61,55.03,55.03,19.85,0.94,101.13,0.17,0.4,0.02,0.55,6.83,54.43,0.6,8.12,100.77,928.55,1.56,765.7,0.76,0.06,0.74,0,0,33.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Mushroom Risotto,511.43,13.58,11.85,81.94,8.49,7.54,,Dinner,1,Serving,550.64,,105.59,16.8,,81.94,8.49,0.41,,2.42,0.51,5.1,11.85,1.87,5.95,1.09,0,0,135.45,255.09,12.76,25.52,0,109.72,0.67,0.77,12.33,13.24,0.48,0.83,2.19,7.83,201.05,5.03,1.05,52.8,52.8,46.26,1.18,65.64,0,0.35,0,0.89,3.28,28.93,0.32,2.24,138.65,501.47,13.86,758.63,1.24,0.07,0.72,3.03,0,21.7
Euphebe Organic Vegetable Stock,21.29,1.06,0,4.26,1.06,3.2,,,8.89286,Fluid ounce,251.92,,0,0,,4.26,1.06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white cooking wine,21.19,0,0,0,0,0,,,0.13244,Cup,31.79,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.31,0,0,0,3.03,0,0
olive oil,59.67,0,6.75,0,0,0,,,0.25,Fluid ounce,6.75,,59.67,8.39,,0,0,0,,0,0,0,6.75,0.93,4.92,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,4.06,0,0.07,0,0,0,0,0.04,0,0,0,0,0.07,0,0.13,0,0.05,0.66,0,0,0.02
yellow onion,17.89,0.49,0.04,4.18,0.76,1.9,,,1.57738,Ounce-weight,44.72,,0.4,0.17,,4.18,0.76,0,,1.45,0.44,1.52,0.04,0.02,0.01,0.01,0,0,39.85,0.89,0.04,0.09,0,0.45,0.02,0.01,0.05,0.16,0.05,0,1.57,3.31,0,0,0.01,8.5,8.5,0.18,0.06,10.29,0,0.02,0,0.89,0.09,4.47,0.06,2.24,12.97,65.29,0.22,1.79,0.08,0,0.01,0,0,2.73
garlic,15.69,0,0.52,0,0,0,,,0.184524,Ounce-weight,5.23,,4.71,0,,0,0,0,,0,0,0,0.52,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celery,0.94,0,0,0.25,0.13,0.13,,,0.244048,Ounce-weight,6.92,,0,0,,0.25,0.13,0,,0,0,0,0,0,0,0,0,0,6.61,31.45,1.57,3.14,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,2.52,0,0,0,0,0.02,0,0,0,0,16.35,0,7.23,0,0,0,0,0,0
brown rice,295.37,6.91,2.48,61.46,2.73,0,,,2.81548,Ounce-weight,79.82,,22.32,5.27,,61.46,2.73,0,,0,0,0,2.48,0.59,0,0,0,0,0,40.31,2.02,4.04,0,0,0,0,6.32,6.32,0,0,0,0.08,0,0,0,0,0,0,0,15.63,0,0,0,0,0.61,0,0,0,0,0,0,11.95,0,0,0,0,0,0
maitake mushrooms,5.39,0.34,0.03,1.21,0.47,0.36,,,0.613095,Ounce-weight,17.38,,0.3,0.05,,1.21,0.47,0,,0.3,0.06,0.38,0.03,0.01,0.01,0.02,0,0,15.71,0,0,0,0,0,0.03,0.04,1.14,1.25,0.01,0,0,0,195.19,4.88,0,3.65,3.65,0,0.05,0.17,0,0.04,0,0,0.05,1.74,0.01,0,12.86,35.46,0.38,0.17,0.13,0,0.02,0,0,8.88
porcini mushrooms,8.96,0.78,0.1,1.24,0.41,0.06,,,0.089286,Ounce-weight,2.53,,0.87,0.1,,1.24,0.41,0,,0,0,0.78,0.1,0.01,0.05,0.04,0,0,0,0.25,0.01,0.03,0,0.15,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.68,0,0,0,0,0.53,0,0,0,0,0,0,0.97,0,0,0,0,0,0
shiitake mushrooms,8.66,0.57,0.12,1.73,0.64,0.61,,,0.89881,Ounce-weight,25.48,,1.12,0,,1.73,0.64,0,,0.61,0,0.49,0.12,0,0,0,0,0,22.87,0,0,0,0,0,0,0.06,0.99,1.03,0.07,0,0,0,4.59,0.1,0,3.31,3.31,0,0.38,0.51,0,0.04,0,0,0.1,5.1,0.06,0,28.54,77.46,1.45,2.29,0.26,0,0,0,0,0
crimini mushrooms,9.36,1.06,0.04,1.83,0.26,0.73,,,1.5,Ounce-weight,42.52,,0.38,0.05,,1.83,0.26,0,,0,0,0.84,0.04,0.01,0,0.02,0,0,39.17,0,0,0,0,0,0.04,0.21,1.62,2.01,0.05,0.04,0,0,1.28,0.04,0,10.63,10.63,0,0.64,7.65,0,0.21,0,0,0.17,3.83,0.06,0,51.03,190.51,11.06,2.55,0.47,0,0.02,0,0,9.4
thyme,1.86,0.06,0.05,0.43,0.25,0.01,,,0.02381,Ounce-weight,0.67,,0.45,0.17,,0.43,0.25,0,,0,0,0.17,0.05,0.02,0,0.01,0,0,0.05,25.65,1.28,2.56,0,15.28,0,0,0.03,0.05,0,0,0,0.34,0,0,0.05,1.85,1.85,11.57,0,12.76,0,0.01,0,0,0.83,1.48,0.05,0,1.36,5.49,0.03,0.37,0.04,0,0,0,0,0.29
parsley,0.67,0.06,0.01,0.12,0.06,0.02,,,0.065476,Ounce-weight,1.86,,0.13,0.02,,0.12,0.06,0,,0,0,0.04,0.01,0,0.01,0,0,0,1.63,156.37,7.82,15.64,0,93.81,0,0,0.02,0.04,0,0,0,2.47,0,0,0.01,2.82,2.82,30.44,0.01,2.56,0,0,0,0,0.12,0.93,0,0,1.08,10.28,0,1.04,0.02,0,0,0,0,0.24
lemon juice,0.52,0.01,0.01,0.16,0.01,0.06,,,0.077381,Fluid ounce,2.36,,0.05,0.01,,0.16,0.01,0,,0.05,0.01,0.1,0.01,0,0,0,0,0,2.18,0.14,0.01,0.01,0,0.02,0,0,0,0,0,0,0.01,0.91,0,0,0,0.47,0.47,0,0,0.14,0,0,0,0,0,0.14,0,0,0.19,2.43,0,0.02,0,0,0,0,0,0.12
nutritional yeast,2.61,0.34,0.03,0.24,0.14,0,,,0.02381,Ounce-weight,0.67,,0.27,0.04,,0.24,0.14,0,,0,0,0.1,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0.53,0.44,2.07,2.07,0.27,0.79,0.62,0,0,0,0,0,0,0,0.01,0.27,0,0,0,0,0.04,1,0.01,0,5.82,11.88,0,1.17,0.09,0,0,0,0,0
Euphebe Organic Vegetable Stock,1.37,0.07,0,0.27,0.07,0.21,,,0.017857,Quart,16.19,,0,0,,0.27,0.07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white beans,18.71,1.18,0.07,3.47,1.39,0,,,0.196429,Ounce-weight,5.57,,0.59,0.15,,3.47,1.39,0.4,,0,0,0,0.07,0.02,0.01,0.03,0,0,0.65,0,0,0,0,0,0.04,0.01,0.07,0.31,0.02,0,0,0,0,0,0,21.5,21.5,0,0.04,9.63,0,0.04,0,0,0.43,10.19,0.07,0,24.78,85.87,0.71,0.67,0.16,0.01,0.02,0,0,0
lemon juice,0.08,0,0,0.03,0,0.01,,,0.001488,Cup,0.36,,0.01,0,,0.03,0,0,,0.01,0,0.01,0,0,0,0,0,0,0.34,0.02,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.07,0.07,0,0,0.02,0,0,0,0,0,0.02,0,0,0.03,0.37,0,0,0,0,0,0,0,0.02
cashews,21.21,0.66,1.59,1.06,0.13,0.27,,,0.130952,Ounce-weight,3.71,,14.32,2.39,,1.06,0.13,0,,0,0,0.66,1.59,0.27,0.93,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0.24,0,0,0,0,0,0,0.66,0,0,0,0,0,0
water,0,0,0,0,0,0,,,0.011905,Cup,2.82,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.03,0,0,0,0,0,0.11,0,0,0,0,0,0
sea salt,,,,,,,,,0.048,ounce-weight,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.17,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White Lentil, Tomato & Fennel Faux-sotto",436.48,17.82,11.58,68.36,12.94,21.59,,Dinner,1,Serving,664.21,,103.36,47.56,,68.36,12.94,0.58,,4.77,1.92,33.06,11.58,5.28,4.38,1.2,0,0,361.82,4582.07,229.11,458.22,0,2698.3,0.86,0.46,4.77,6.86,0.75,0.29,4.2,536.7,0,0,1.6,302.43,302.43,73.66,2.05,135.31,0.09,0.52,0,2.27,7.38,96.42,1.32,10.21,305.25,1720.41,1.86,761.64,2.45,0.1,0.89,2.29,0,65.79
olive oil,47.74,0,5.4,0,0,0,,,0.4,Tablespoon,5.4,,47.74,6.71,,0,0,0,,0,0,0,5.4,0.75,3.94,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,3.25,0,0.05,0,0,0,0,0.03,0,0,0,0,0.05,0,0.11,0,0.04,0.53,0,0,0.02
white onion,45.36,1.25,0.11,10.59,1.93,4.81,,,4,Ounce-weight,113.4,,1.02,0.43,,10.59,1.93,0,,3.69,1.12,3.86,0.11,0.05,0.01,0.02,0,0,101.05,2.27,0.11,0.23,0,1.13,0.05,0.03,0.13,0.4,0.14,0,3.97,8.39,0,0,0.02,21.55,21.55,0.45,0.14,26.08,0,0.04,0,2.27,0.24,11.34,0.15,5.67,32.89,165.56,0.57,4.54,0.19,0,0.01,0,0,6.92
tomatoes ,56.46,2.3,0.49,13.64,1.56,7.96,,,6,Ounce-weight,170.1,,4.44,0.61,,13.64,1.56,0,,0,0,4.12,0.49,0.07,0.09,0.2,0,0,151.39,3575.87,178.8,357.6,0,2096.23,0.19,0.14,1.91,1.91,0.17,0,0,512.93,0,0,0,34.19,34.19,0,0.66,22.54,0,0,0,0,1.55,33.59,0,0,66.37,689.32,0,25.21,0.34,0,0,0,0,0
garlic cloves,5.91,0.25,0.02,1.31,0.08,0.04,,,0.14,Ounce-weight,3.97,,0.18,0.03,,1.31,0.08,0,,0,0,1.19,0.02,0,0,0.01,0,0,2.33,0.36,0.02,0.04,0,0.2,0.01,0,0.03,0.07,0.05,0,0,1.24,0,0,0,0.12,0.12,0.07,0.02,7.18,0,0.01,0,0,0.07,0.99,0.07,0,6.07,15.92,0.56,0.67,0.05,0,0.01,0,0,0.92
white cooking wine,16,0,0,0,0,0,,,0.8,Fluid ounce,24,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,2.29,0,0
tomato paste,8.76,0.29,0,2.04,0.58,1.17,,,0.34,Ounce-weight,9.64,,0,0,,2.04,0.58,0,,0,0,0.29,0,0,0,0,0,0,0,87.63,4.38,8.76,0,51.37,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,93.47,0,30.67,0,0,0,0,0,0
thyme,1.56,0.05,0.04,0.36,0.21,0.01,,,0.02,Ounce-weight,0.57,,0.38,0.14,,0.36,0.21,0,,0,0,0.14,0.04,0.02,0,0.01,0,0,0.04,21.55,1.08,2.15,0,12.84,0,0,0.03,0.05,0,0,0,0.28,0,0,0.04,1.55,1.55,9.72,0,10.72,0,0,0,0,0.7,1.25,0.04,0,1.14,4.62,0.03,0.31,0.04,0,0,0,0,0.25
lentils,159.66,11.17,0.48,28.74,4.85,0.92,,,1.6,Ounce-weight,45.36,,4.33,0.63,,28.74,4.85,0.58,,0.12,0.8,22.96,0.48,0.07,0.09,0.24,0,0,3.75,17.69,0.88,1.77,0,10.43,0.4,0.1,1.18,2.85,0.24,0,0,2.04,0,0,0.22,217.27,217.27,2.27,0.97,15.88,0,0.34,0,0,2.95,21.32,0.63,0,127.46,307.08,0.05,2.72,1.48,0.05,0.19,0,0,43.73
coconut milk,44.52,0.46,4.82,0.64,0,0,,,0.8,Fluid ounce,22.6,,43.39,38.47,,0.64,0,0,,0,0,0,4.82,4.27,0.2,0.05,0,0,16.47,0,0,0,0,0,0,0,0.14,0.23,0.01,0,0,0.23,0,0,0,3.16,3.16,0,0.03,4.07,0,0.05,0,0,0.75,10.4,0.17,0,21.7,49.72,0,2.94,0.13,0,0.05,0,0,1.92
balsamic vinegar,5.63,0.03,0,1.09,0,0.96,,,0.4,Tablespoon,6.4,,0,0,,1.09,0,0,,0.96,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0.05,0.77,0.01,0,1.22,7.17,0,1.47,0.01,0,0,0,0,0
nutritional yeast,0.97,0.13,0.01,0.09,0.05,0,,,0.2,Teaspoon,0.25,,0.1,0.02,,0.09,0.05,0,,0,0,0.04,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.2,0.16,0.77,0.77,0.1,0.29,0.23,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.01,0.37,0,0,2.16,4.4,0,0.44,0.03,0,0,0,0,0
black pepper,1.42,0.06,0.02,0.36,0.14,0,,,0.02,Ounce-weight,0.57,,0.17,0.07,,0.36,0.14,0,,0,0,0.22,0.02,0.01,0,0.01,0,0,0.07,3.1,0.16,0.31,0,1.76,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0.1,0.1,0.93,0.01,2.51,0.09,0.01,0,0,0.06,0.97,0.07,0,0.9,7.54,0.03,0.11,0.01,0,0,0,0,0.06
fennel,28.12,1.12,0.18,6.62,2.81,3.57,,,3.2,Ounce-weight,90.72,,1.63,0.45,,6.62,2.81,0,,0,0,0.24,0.18,0.05,0.04,0.09,0,0,81.84,873.62,43.68,87.36,0,524.35,0.01,0.03,0.58,0.58,0.04,0,0,10.89,0,0,0.53,24.49,24.49,56.97,0.21,44.45,0,0.06,0,0,0.66,15.42,0.17,4.54,45.36,375.57,0.64,47.17,0.18,0,0.09,0,0,11.97
Euphebe Organic Vegetable Stock,14.36,0.71,0,2.87,0.71,2.16,,,6,Fluid ounce,169.97,,0,0,,2.87,0.71,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea salt,,,,,,,,,0.045,ounce-weight,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels Sprouts Gratin,502.59,20.43,19.19,66.36,17.43,11.52,,Dinner,1,Serving,387.42,,172.3,28.69,,66.36,17.43,3.94,,4.92,3.19,26.71,19.19,3.19,10.99,3.21,0,0,266.96,16579.56,828.98,1657.96,0,9920.26,1.87,1.47,8.73,11.15,1.51,2.09,2.72,97.76,6.63,0.15,1.65,207.08,207.08,270.15,1.94,197.44,0.11,0.75,0.03,0.57,7.17,121.52,1.37,11.4,323.55,1408.42,9.05,767.1,2.31,0.21,0.45,0,0,31.75
brussels sprouts,35.35,2.78,0.25,7.36,3.12,1.81,,,2.9,Ounce-weight,82.21,,2.22,0.46,,7.36,3.12,1.64,,1.43,0.38,2.43,0.25,0.05,0.02,0.13,0,0,70.7,619.89,30.99,61.99,0,369.96,0.11,0.07,0.61,1.12,0.18,0,0,69.88,0,0,0.72,50.15,50.15,145.52,0.25,34.53,0,0.06,0,0,1.15,18.91,0.28,4.11,56.73,319.81,1.32,20.55,0.35,0.08,0.04,0,0,15.7
shiitake mushrooms,12.53,0.83,0.18,2.5,0.92,0.88,,,1.3,Ounce-weight,36.85,,1.63,0,,2.5,0.92,0,,0.88,0,0.7,0.18,0,0,0,0,0,33.07,0,0,0,0,0,0.01,0.08,1.43,1.48,0.11,0,0,0,6.63,0.15,0,4.79,4.79,0,0.55,0.74,0,0.05,0,0,0.15,7.37,0.08,0,41.28,112.04,2.1,3.32,0.38,0,0,0,0,0
sweet potatoes,86.31,1.58,0.05,20.19,3.01,4.19,,,3.54,Ounce-weight,100.36,,0.45,0.16,,20.19,3.01,0,,1.67,2.53,12.99,0.05,0.02,0,0.01,0,0,77.56,14237.69,711.88,1423.77,0,8539.4,0.08,0.06,0.56,1.08,0.21,0,0,2.41,0,0,0.26,11.04,11.04,1.81,0.8,30.11,0,0.15,0,0,0.61,25.09,0.26,5.02,47.17,338.2,0.6,55.2,0.3,0,0.01,0,0,12.34
kale,8.33,0.73,0.16,1.49,0.61,0.38,,,0.6,Ounce-weight,17.01,,1.42,0.14,,1.49,0.61,0.24,,0,0,0.49,0.16,0.02,0.01,0.06,0,0,14.29,1699.27,84.96,169.93,0,1008.17,0.02,0.02,0.17,0.17,0.05,0,0.09,20.41,0,0,0.26,23.98,23.98,119.88,0.02,25.51,0,0.25,0,0,0.25,7.99,0.11,0.85,15.65,83.52,0.15,6.46,0.1,0.03,0.02,0,0,0.14
garlic cloves,10.98,0.47,0.04,2.44,0.15,0.07,,,0.26,Ounce-weight,7.37,,0.33,0.06,,2.44,0.15,0,,0,0,2.21,0.04,0.01,0,0.02,0,0,4.32,0.66,0.03,0.07,0,0.37,0.01,0.01,0.05,0.13,0.09,0,0,2.3,0,0,0.01,0.22,0.22,0.13,0.04,13.34,0,0.02,0,0,0.13,1.84,0.12,0,11.28,29.56,1.05,1.25,0.09,0,0.02,0,0,1.71
white onion,11.34,0.31,0.03,2.65,0.48,1.2,,,1,Ounce-weight,28.35,,0.26,0.11,,2.65,0.48,0,,0.92,0.28,0.96,0.03,0.01,0,0,0,0,25.26,0.57,0.03,0.06,0,0.28,0.01,0.01,0.03,0.1,0.03,0,0.99,2.1,0,0,0.01,5.39,5.39,0.11,0.03,6.52,0,0.01,0,0.57,0.06,2.83,0.04,1.42,8.22,41.39,0.14,1.13,0.05,0,0,0,0,1.73
white beans,95.25,5.98,0.33,17.65,7.06,0,,,1,Ounce-weight,28.35,,3.01,0.78,,17.65,7.06,2.05,,0,0,0,0.33,0.09,0.03,0.14,0,0,3.32,0,0,0,0,0,0.21,0.06,0.38,1.56,0.12,0,0,0,0,0,0,109.43,109.43,0,0.21,49.04,0,0.18,0,0,2.19,51.88,0.36,0,126.16,437.15,3.63,3.4,0.8,0.07,0.08,0,0,0
olive oil,23.87,0,2.7,0,0,0,,,0.1,Fluid ounce,2.7,,23.87,3.36,,0,0,0,,0,0,0,2.7,0.37,1.97,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,1.63,0,0.03,0,0,0,0,0.02,0,0,0,0,0.03,0,0.05,0,0.02,0.26,0,0,0.01
black pepper,1.42,0.06,0.02,0.36,0.14,0,,,0.02,Ounce-weight,0.57,,0.17,0.07,,0.36,0.14,0,,0,0,0.22,0.02,0.01,0,0.01,0,0,0.07,3.1,0.16,0.31,0,1.76,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0.1,0.1,0.93,0.01,2.51,0.09,0.01,0,0,0.06,0.97,0.07,0,0.9,7.54,0.03,0.11,0.01,0,0,0,0,0.06
rosemary,1.88,0.03,0.09,0.36,0.24,0.01,,,0.02,Ounce-weight,0.57,,0.78,0.38,,0.36,0.24,0,,0,0,0,0.09,0.04,0.02,0.01,0,0,0.05,17.74,0.89,1.77,0,0,0,0,0.01,0.01,0.01,0,0,0.35,0,0,0,1.74,1.74,0,0,7.26,0,0,0,0,0.17,1.25,0.01,0,0.4,5.41,0.03,0.28,0.02,0.01,0.01,0,0,0
cashews,203.16,6.35,15.24,10.16,1.27,2.54,,,0.317439,Cup,35.55,,137.13,22.86,,10.16,1.27,0,,0,0,6.35,15.24,2.54,8.89,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,0,0,2.29,0,0,0,0,0,0,6.35,0,0,0,0,0,0
