,,,,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,,
,1 Tbsp = 1/16 cup,,,Energy,,,,,,Minerals,,,,,,,Vitamins,,,,,,,,,,,,,Lipids,,,,,Other Tags,,,
,1 tsp= 0.33 Tbsp ,,,Cals (kcal),Prot (g),Fat (g),Carb (g),TotFib (g),Sugar (g),Calc (mg),Iron (mg),Magn (mg),Phos (mg),Pot (mg),Sod (mg),Zinc (mg),Vit C (mg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B6 (mg),Folate (mcg),Vit B12 (mcg),Vit A-RAE (mcg),Vit A-IU (IU),Vit E-a-Toco (mg),Vit D-mcg (mcg),Vit D-IU (IU),Vit K (mcg),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Gluten-Free,Spicy ,Raw,Soft
,,,Unit,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,IU,mg,µg,IU,µg,g,g,g,g,mg,,mg,,
Meals,Ingredients ,Unit,RDI,2000,50.00,60.00,,28,,1200,15,350,500,4000,1500,15,75,1.4,1.6,18,2,400,2000,600,,10,5,600,80,,,,,,,,,
Lunch,Zucchini Vichyssoise with Coconut Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yellow onions. saute,,20,  24.6   ,  0.2   ,  2.2   ,  1.6   ,  -     ,  -     ,  0.1   ,  1.8   ,  6.6   ,  26.6   ,  2.4   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  0.1   ,  -     ,  -     ,  4.3   ,  -     ,  0.4   ,  1.1   ,  -     ,  -     ,  -     ,  -     , ,,
,Leek cooked,,44.5,  13.8   ,  0.4   ,  0.1   ,  3.4   ,  0.9   ,  -     ,  0.5   ,  6.2   ,  7.6   ,  38.7   ,  4.5   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.1   ,  0.0   ,  10.7   ,  -     ,  18.2   ,  361.3   ,  0.2   ,  -     ,  -     ,  11.3   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Zucchini with skin. cooked,,62,  9.3   ,  0.7   ,  0.2   ,  1.7   ,  1.1   ,  -     ,  0.2   ,  11.8   ,  22.9   ,  163.7   ,  1.9   ,  0.2   ,  -     ,  0.0   ,  0.0   ,  0.3   ,  0.0   ,  17.4   ,  -     ,  34.7   ,  692.5   ,  0.1   ,  -     ,  -     ,  2.6   ,  -     ,  0.0   ,  0.1   ,  -     ,  -     ,  -     ,  -     , ,,
,White potato. cooked with peel,,37.5,  34.5   ,  0.8   ,  0.1   ,  7.9   ,  0.6   ,  -     ,  0.2   ,  10.1   ,  28.1   ,  204.0   ,  2.6   ,  0.1   ,  -     ,  0.0   ,  0.0   ,  0.6   ,  0.1   ,  14.3   ,  -     ,  0.4   ,  3.8   ,  0.0   ,  -     ,  -     ,  1.0   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Coconut Meat,,10,  35.4   ,  0.3   ,  3.3   ,  1.5   ,  0.6   ,  -     ,  0.2   ,  3.2   ,  11.3   ,  35.6   ,  2.0   ,  0.1   ,  -     ,  0.0   ,  0.0   ,  0.1   ,  0.0   ,  2.6   ,  -     ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.1   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Coconut Oil,,2.3,  20.5   ,  -     ,  2.3   ,  -     ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     , ,,
,Vegetable stock,,237,  9.5   ,  -     ,  1.9   ,  -     ,  1.9   ,  -     ,  -     ,  -     ,  -     ,  -     ,  609.1   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     , ,,
,Table Salt,,0.4,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  0.0   ,  -     ,  0.0   ,  155.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     , ,,
,TOTAL ,,413.7,  147.6   ,  2.4   ,  10.1   ,  16.1   ,  5.1   ,  -     ,  1.3   ,  33.1   ,  76.5   ,  468.6   ,  777.5   ,  0.5   ,  -     ,  0.1   ,  0.0   ,  1.0   ,  0.2   ,  44.9   ,  -     ,  53.3   ,"  1,057.6   ",  0.5   ,  -     ,  -     ,  19.3   ,  -     ,  0.6   ,  1.3   ,  -     ,  -     ,  -     ,  -     ,  -     ,,
,% of RDI,,,7%,5%,17%,,18%,,0%,221%,22%,94%,19%,0%,0%,0%,3%,65%,1%,2245%,0%,3%,176%,,0%,0%,3%,0%,,,,,,,,,
Lunch,Cucumber Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cucumber with peel. raw,cup,1,  20.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.1   ,  0.2   ,  1.5   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.1   ,  -     ,  0.1   ,  1.1   ,  0.0   ,  -     ,  -     ,  0.2   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Dill weed Fresh,tsp,3,  1.3   ,  0.1   ,  0.0   ,  0.2   ,  -     ,  -     ,  0.2   ,  1.7   ,  2.0   ,  22.1   ,  1.8   ,  0.0   ,  -     ,  1.7   ,  8.9   ,  0.1   ,  5.6   ,  4.5   ,  -     ,  -     ,  11.6   ,  231.5   ,  -     ,  -     ,  -     ,  -     ,  24.1   ,  2.9   ,  -     ,  -     ,  -     ,  -     , ,,
,Parsley. Fresh,tsp,3,  1.7   ,  0.1   ,  0.0   ,  0.2   ,  0.0   ,  -     ,  0.2   ,  1.5   ,  1.7   ,  16.6   ,  1.7   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  4.6   ,  -     ,  12.6   ,  252.7   ,  0.0   ,  -     ,  -     ,  49.2   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Scallions. raw,tsp,3,  96.0   ,  0.1   ,  0.0   ,  0.2   ,  0.1   ,  -     ,  0.0   ,  0.6   ,  1.1   ,  8.3   ,  0.5   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  1.9   ,  -     ,  1.5   ,  29.9   ,  0.0   ,  -     ,  -     ,  6.2   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Garlic. Raw,tsp,0.5,  2.1   ,  0.0   ,  0.0   ,  0.2   ,  0.0   ,  -     ,  0.0   ,  0.1   ,  0.8   ,  2.0   ,  0.1   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  6.2   ,  0.0   ,  -     ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Lemon juice,tsp,3,  161.0   ,  0.0   ,  0.0   ,  0.2   ,  0.1   ,  -     ,  0.0   ,  0.2   ,  0.2   ,  3.1   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.6   ,  -     ,  -     ,  0.2   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Rice vinegar,tsp,1,  -     ,  0.0   ,  -     ,  0.1   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  1.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     , ,,
,Table Salt,tsp,1,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  0.0   ,  -     ,  0.1   ,  387.6   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     , ,,
,Black Pepper,,10,  25.1   ,  1.0   ,  0.3   ,  6.4   ,  0.1   ,  -     ,  1.0   ,  17.1   ,  15.8   ,  132.9   ,  2.0   ,  0.1   ,  -     ,  10.8   ,  0.0   ,  0.1   ,  29.1   ,  1.7   ,  -     ,  2.7   ,  54.7   ,  0.1   ,  -     ,  -     ,  16.4   ,  -     ,  73.9   ,  99.8   ,  -     ,  -     ,  -     ,  -     , ,,
,Olive oil,tsp,3,  108.0   ,  -     ,  2.8   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  2.0   ,  0.2   ,  -     ,  -     ,  -     ,  -     , ,,
,TOTAL ,,28.5,  415.2   ,  1.3   ,  3.2   ,  7.5   ,  0.3   ,  -     ,  1.4   ,  21.3   ,  21.9   ,  186.6   ,  394.7   ,  0.2   ,  -     ,  12.5   ,  8.9   ,  0.2   ,  40.8   ,  13.4   ,  -     ,  16.9   ,  350.2   ,  231.7   ,  -     ,  -     ,  72.0   ,  -     ,  100.0   ,  102.9   ,  -     ,  -     ,  -     ,  -     ,  -     ,,
,% of RDI,,,21%,3%,5%,,1%,,0%,142%,6%,37%,10%,0%,0%,17%,636%,14%,227%,668%,0%,1%,58%,,0%,0%,12%,0%,,,,,,,,,
Lunch,"Carrot, Dill and White Bean Salad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pinto beans. sprouted. cooked,cup,0.5,  18.7   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  -     ,  0.0   ,  0.1   ,  0.2   ,  0.5   ,  0.3   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.1   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Olive oil,tsp,1,  36.0   ,  -     ,  0.9   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  0.7   ,  0.1   ,  -     ,  -     ,  -     ,  -     , ,,
,Parsley. Fresh,tsp,1,  0.6   ,  0.0   ,  0.0   ,  0.1   ,  0.0   ,  -     ,  0.1   ,  0.5   ,  0.6   ,  5.5   ,  0.6   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  1.5   ,  -     ,  4.2   ,  84.2   ,  0.0   ,  -     ,  -     ,  16.4   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Scallions. raw,tsp,1,  32.0   ,  0.0   ,  0.0   ,  0.1   ,  0.0   ,  -     ,  0.0   ,  0.2   ,  0.4   ,  2.8   ,  0.2   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.6   ,  -     ,  0.5   ,  10.0   ,  0.0   ,  -     ,  -     ,  2.1   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Cooked carrots,tsp,0.5,  26.3   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.1   ,  0.2   ,  1.2   ,  0.3   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.1   ,  -     ,  4.3   , ,  0.0   ,  -     ,  -     ,  0.1   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Rice vinegar,tsp,1,  -     ,  0.0   ,  -     ,  0.1   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  1.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     , ,,
,Lemon juice,tsp,1,  53.7   ,  0.0   ,  0.0   ,  0.1   ,  0.0   ,  -     ,  0.0   ,  0.1   ,  0.1   ,  1.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.2   ,  -     ,  -     ,  0.1   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Chives,tsp,1,  0.3   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.4   ,  0.6   ,  3.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  1.1   ,  -     ,  2.2   ,  43.5   ,  0.0   ,  -     ,  -     ,  2.1   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Almonds,cup,0.8,  463.2   ,  0.2   ,  0.4   ,  0.2   ,  0.0   ,  -     ,  0.0   ,  2.2   ,  3.8   ,  5.9   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.4   ,  -     ,  -     ,  0.0   ,  0.2   ,  -     ,  -     ,  -     ,  -     ,  0.3   ,  0.1   ,  0.0   ,  -     ,  -     ,  -     , ,,
,Table Salt,tsp,1,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  0.0   ,  0.0   ,  -     ,  0.1   ,  387.6   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     ,  -     , ,,
,Black Pepper,tsp,1,  5.3   ,  0.1   ,  0.0   ,  0.6   ,  0.0   ,  -     ,  0.1   ,  1.7   ,  1.6   ,  13.3   ,  0.2   ,  0.0   ,  -     ,  1.1   ,  0.0   ,  0.0   ,  2.9   ,  0.2   ,  -     ,  0.3   ,  5.5   ,  0.0   ,  -     ,  -     ,  1.6   ,  -     ,  7.4   ,  10.0   ,  -     ,  -     ,  -     ,  -     , ,,
,,cup,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
,,,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
,,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
,,,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
,,,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
,,,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
,,,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
,TOTAL ,,111.8,  636.0   ,  0.4   ,  1.4   ,  1.2   ,  0.1   ,  -     ,  0.2   ,  5.2   ,  7.3   ,  33.2   ,  390.1   ,  0.1   ,  -     ,  1.1   ,  0.0   ,  0.1   ,  2.9   ,  4.1   ,  -     ,  11.4   ,  143.3   ,  0.2   ,  -     ,  -     ,  22.3   ,  -     ,  8.3   ,  10.2   ,  0.0   ,  -     ,  -     ,  -     ,  -     ,,
,% of RDI,,,32%,1%,2%,,0%,,0%,35%,2%,7%,10%,0%,0%,1%,1%,4%,16%,207%,0%,1%,24%,,0%,0%,4%,0%,,,,,,,,,
Lunch,Thai Red Curry // Mung Bean Dahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweet potato. baked w/o skin,cup,0.125,  19.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.3   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  1.0   , ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Cooked cauliflower,cup,0.25,  7.1   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.1   ,  0.4   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.1   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
,Butternut. Cooked,cup,0.125,  10.3   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.4   ,  0.0   ,  0.0   ,  -     ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  0.0   ,  -     ,  0.7   , ,  0.0   ,  -     ,  -     ,  0.0   ,  -     ,  0.0   ,  0.0   ,  -     ,  -     ,  -     ,  -     , ,,
