alphabetical,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aloe,Apple Sauce,Ashwaganda,Astragalus,Calendula,Chaga,Clove,Eucalyptus,Fennel,Ginger,Lavender,Marshmallow Root,Nettle ,Nettle (large dose),Orange/Tangerine Peel,Peppermint,Red Clover,Roman Chamomile,Roman Chamomile (large dose),Sage,Senna,Slippery Elm,Thyme,Turmeric
Symptoms,Constipation,,2,,,,,,,,,,4,,1,,,,,3,,6,5,,
,Cough (dry),,,,,,,,3,2,,,4,,,,1,,,,,,5,,
,Cough (wet),,,,1,,,,,,3,,,,,2,,,,,,,,4,
,Diarrhea,,1,,,,,,,,3,,,,,2,,,,,,,,,
,Difficulty chewing ,,,,,1,,3,,,,,2,,,,,,,,,,,,
,Difficulty swallowing,,,,,,,,1,,,,3,,,,,,,,,,4,,
,Dry mouth ,,,,,,,,2,,,,4,,,,1,,,,,,5,,
,Dry skin,6,,,,4,,,,,,,5,,,,,2,3,,,,,,1
,Fatigue,,,3,5,,4,,,,,,,,,2,,,1,,,,,,
,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,
,Loss of appetite,,,,3,,,,,4,,,,,,2,,,1,,,,,,
,Loss of or change of taste,,,,,,,,,,2,,,1,,,,,,,,,,,
,Mouth & throat sore,,,,,2,,,,,,,,,,,,,,,3,,,,
,Nausea,,,,2,,,,,,5,,,,,2,4,,,,,,,,1
,Sleeping problems ,,,3,,,,,,,,2,,,,,,,1,,,,,,
,Stomach Acidity,,,,,,,,,2,,,3,,,,1,,,,,,4,,
,Weight gain,,,,,,,,,,3,2,,1,,,,,,,,,,,
,Weight loss,,,,,,,,,2,,,,,,3,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Cool/Warm,-3,-2,2,2,-2,0,4,4,2,3,-3,-2,-2,-2,3,-2,-2,-2,-2,2,4,-1,2,3
,Moist/Dry,-4,-3,-1,1,-3,1,3,3,2,3,3,-3,4,4,2,2,3,2,2,3,3,-3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,
,Immunomodulating,,,1,1,,1,,,,,,1,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Cool/Warm,C,C,W,W,C,--,W,W,W,W,C,C,C,C,W,C,C,C,C,W,W,C,W,W
,Moist/Dry,M,M,M,D,M,D,D,D,D,D,D,M,D,D,D,D,D,D,D,D,D,M,D,D
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,total symptoms,1,2,3,5,3,2,1,3,4,5,2,8,2,1,6,4,1,5,1,1,1,5,1,2